;DamageScenario;Date;MATFileName;BLKName;PitchMean;PitchStd;PitchMax;PitchMin;ZrCr1;ZrCr2;RPM_DC1;RPM_DC2;RPM;DC1_az;DC2_az;AzPhase;Wind;WindDirection;Temperature;Precipitation;Generator;Power;Yaw;RPM_Class
1152;undamaged;02/12/14 15:44;Run5_1153..mat;V27HOJTEK_20141202_1540.blk;-1.31949716;0.003470409;-1.304096961;-1.336275595;12;12;24.37536016;24.32640526;24.35088271;247.2672207;336.6734995;270.5937212;2.145725564;136.6427;2.044671;0.005801928;1.0;-0.2167775;10.03898;T1
1153;undamaged;02/12/14 15:49;Run5_1154..mat;V27HOJTEK_20141202_1540.blk;-1.304568991;0.003257114;-1.288674849;-1.319517011;15;15;30.01236351;30.01105549;30.0117095;250.0390075;340.6507167;269.3882907;2.735338738;132.3625;2.030318;0.005801928;1.0;-0.2161815;10.03453;T1
1157;undamaged;02/12/14 16:09;Run5_1158..mat;V27HOJTEK_20141202_1600.blk;-1.311463622;0.00351923;-1.294901416;-1.327274144;15;15;29.83515444;29.85911937;29.8471369;195.0075648;285.9280762;269.0794886;2.815477814;136.2484;1.987514;0.005801928;1.0;-0.2168888;9.98693;T1
1158;undamaged;02/12/14 16:14;Run5_1159..mat;V27HOJTEK_20141202_1610.blk;-1.343149693;0.003432352;-1.32717838;-1.358871885;11;11;22.19343905;22.19707942;22.19525923;69.72873855;160.6009402;269.1277983;2.467939121;135.0816;1.962845;0.005801928;1.0;-0.2168888;9.991047;T1
1159;undamaged;02/12/14 16:19;Run5_1160..mat;V27HOJTEK_20141202_1610.blk;-1.34201678;0.003256625;-1.326795324;-1.356669899;12;12;23.84596199;23.87692167;23.86144183;212.1959981;303.2716969;268.9243012;2.346964728;135.5758;1.986266;0.005801928;1.0;-0.2183987;9.988046;T1
1160;undamaged;02/12/14 16:24;Run5_1161..mat;V27HOJTEK_20141202_1620.blk;-1.331804691;0.003196475;-1.317122728;-1.346329577;13;13;25.15245679;25.18230008;25.16737843;303.9956238;34.54584146;269.4497824;2.712258981;128.8331;1.987212;0.005801928;1.0;-0.2159828;9.992887;T1
1161;undamaged;02/12/14 16:29;Run5_1162..mat;V27HOJTEK_20141202_1620.blk;-1.342756098;0.003394842;-1.325550382;-1.358105982;12;12;24.12853384;24.28673868;24.20763626;253.3523717;343.5259507;269.826421;1.816620171;120.9236;1.997305;0.005801928;1.0;-0.2166901;9.988317;T1
1162;undamaged;02/12/14 16:34;Run5_1163..mat;V27HOJTEK_20141202_1630.blk;-1.32930896;0.00323791;-1.314441073;-1.343648601;12;12;23.35323763;23.39258768;23.37291266;167.2447377;257.6932411;269.5514966;2.051234868;129.9416;1.997623;0.005801928;1.0;-0.2165868;9.98324;T1
1163;undamaged;02/12/14 16:39;Run5_1164..mat;V27HOJTEK_20141202_1630.blk;-1.331068545;0.003236691;-1.31645232;-1.345467841;13;13;26.21316648;26.18604764;26.19960706;184.0812007;273.6174357;270.463765;1.231086292;110.2549;1.994269;0.005801928;1.0;-0.2163325;9.986222;T1
1164;undamaged;02/12/14 16:44;Run5_1165..mat;V27HOJTEK_20141202_1640.blk;-1.346963945;0.003345112;-1.331870718;-1.362414122;9;9;18.59200652;18.65317653;18.62259152;289.9861873;20.49111555;269.4950718;1.532820814;105.5151;2.016712;0.005801928;1.0;-0.2151642;9.988832;T1
1165;undamaged;02/12/14 16:49;Run5_1166..mat;V27HOJTEK_20141202_1640.blk;-1.331979745;0.003203237;-1.316931183;-1.34613808;12;12;23.97110009;23.96694193;23.96902101;36.04798302;126.2641566;269.7838264;1.572806783;115.1653;2.00774;0.005801928;1.0;-0.2152834;9.998178;T1
1166;undamaged;02/12/14 16:54;Run5_1167..mat;V27HOJTEK_20141202_1650.blk;-1.342803477;0.003274201;-1.328136016;-1.358010244;11;11;21.92591958;21.92020608;21.92306283;161.6650976;248.8229572;272.8421404;1.627004739;100.8315;2.022029;0.005801928;1.0;-0.215641;9.984833;T1
1172;undamaged;02/12/14 17:24;Run5_1173..mat;V27HOJTEK_20141202_1720.blk;-1.328038141;0.00352526;-1.311567801;-1.344127351;9;9;18.17143643;18.41937342;18.29540493;56.05990871;145.8684421;270.1914666;2.25550817;82.77399;2.007215;0.005801928;1.0;-0.234802;9.972987;T1
1173;undamaged;02/12/14 17:29;Run5_1174..mat;V27HOJTEK_20141202_1720.blk;-1.328890553;0.003198511;-1.313387548;-1.343744351;9;9;17.52786972;17.23289666;17.38038319;69.35218497;159.4737304;269.8784546;1.853730328;91.47655;1.990669;0.005801928;1.0;-0.302489;9.975928;T1
1174;undamaged;02/12/14 17:34;Run5_1175..mat;V27HOJTEK_20141202_1730.blk;-1.329906565;0.003230127;-1.312717119;-1.34556359;11;11;21.89409112;21.88022371;21.88715741;91.50501106;182.4648134;269.0401976;3.148153102;89.43174;1.947165;0.005801928;1.0;-0.322556;9.987658;T1
1187;undamaged;02/12/14 18:39;Run5_1188..mat;V27HOJTEK_20141202_1830.blk;-1.319028966;0.003343916;-1.304001178;-1.335605299;15;15;30.00916677;29.99981071;30.00448874;76.60730364;163.6168399;272.9904637;2.80037911;122.0508;1.705607;0.005801928;1.0;-0.2021863;10.02074;T1
1191;undamaged;02/12/14 18:59;Run5_1192..mat;V27HOJTEK_20141202_1850.blk;-1.310161707;0.00326985;-1.294614043;-1.324688491;15;15;29.97030525;29.97291509;29.97161017;202.6954389;293.1464177;269.5490212;2.564039735;88.46404;1.571711;0.005801769;1.0;-0.2007478;10.02215;T1
1211;undamaged;02/12/14 20:39;Run5_1212..mat;V27HOJTEK_20141202_2030.blk;-1.332998248;0.003419144;-1.317793132;-1.348723252;11;11;22.81101543;22.77174413;22.79137978;77.25449436;167.7115324;269.542962;2.568347955;77.16399;1.427603;0.005801928;1.0;-0.2029413;9.995999;T1
1213;undamaged;02/12/14 20:49;Run5_1214..mat;V27HOJTEK_20141202_2040.blk;-1.318665824;0.00341629;-1.301415002;-1.335796812;15;15;29.98720879;29.9907951;29.98900194;312.2583317;42.50039242;269.7579393;2.869928513;86.1528;1.42239;0.005801928;1.0;-0.2031717;9.975728;T1
1214;undamaged;02/12/14 20:54;Run5_1215..mat;V27HOJTEK_20141202_2050.blk;-1.327338073;0.003319575;-1.312525566;-1.343265599;12;12;24.2744867;24.46900801;24.37174736;287.7809242;18.58135642;269.1995678;2.152147025;82.884;1.410516;0.005801928;1.0;-0.2034102;9.994124;T1
1215;undamaged;02/12/14 20:59;Run5_1216..mat;V27HOJTEK_20141202_2050.blk;-1.334553121;0.003202554;-1.318846616;-1.350255179;11;11;21.92542831;21.90565824;21.91554327;275.9294853;5.996002298;269.933483;3.024167643;86.02048;1.394081;0.005801928;1.0;-0.2025042;9.993836;T1
1221;undamaged;02/12/14 21:29;Run5_1222..mat;V27HOJTEK_20141202_2120.blk;-1.312467343;0.003286083;-1.296721425;-1.328806356;15;15;30.64742864;30.45061654;30.54902259;181.2876924;272.0366872;269.2510052;2.898045842;84.97344;1.422032;0.005801928;1.0;-0.2026472;10.03003;T1
1222;undamaged;02/12/14 21:34;Run5_1223..mat;V27HOJTEK_20141202_2130.blk;-1.315035415;0.003253158;-1.299211919;-1.330147024;15;15;29.83935525;29.86146478;29.85041002;243.2448657;333.8057965;269.4390691;2.833103318;91.70463;1.454536;0.005801928;1.0;-0.2024644;10.03277;T1
1224;undamaged;02/12/14 21:44;Run5_1225..mat;V27HOJTEK_20141202_2140.blk;-1.316640248;0.003303119;-1.301798143;-1.331104635;15;15;29.52006647;29.59652929;29.55829788;181.4135792;272.3716862;269.041893;2.926362804;68.52515;1.399907;0.005801928;1.0;-0.2020353;10.03426;T1
1225;undamaged;02/12/14 21:49;Run5_1226..mat;V27HOJTEK_20141202_2140.blk;-1.327421641;0.003293757;-1.312525566;-1.342212338;12;12;23.87997599;23.87542596;23.87770098;66.81213654;157.2933034;269.5188331;2.149616768;91.98221;1.40458;0.005801928;1.0;-0.2022578;10.02865;T1
1226;undamaged;02/12/14 21:54;Run5_1227..mat;V27HOJTEK_20141202_2150.blk;-1.324727569;0.003279853;-1.309556469;-1.339818527;13;13;25.95564294;25.95339269;25.95451782;358.5847971;88.76943448;269.8153626;2.522723979;72.67826;1.411764;0.005801928;1.0;-0.2032194;10.04025;T1
1227;undamaged;02/12/14 21:59;Run5_1228..mat;V27HOJTEK_20141202_2150.blk;-1.322255282;0.003524638;-1.305054788;-1.338956743;14;14;28.82744089;28.45350183;28.64047136;122.6587415;211.9404782;270.7182633;2.565555424;85.14206;1.410008;0.005801928;1.0;-0.2044433;10.0367;T1
1228;undamaged;02/12/14 22:04;Run5_1229..mat;V27HOJTEK_20141202_2200.blk;-1.331414069;0.00323701;-1.315781908;-1.346521072;8;8;16.55845991;16.5541693;16.5563146;317.6471844;45.99039765;271.6567868;2.438343569;64.02963;1.364811;0.005801928;1.0;-0.2038632;10.032;T1
1229;undamaged;02/12/14 22:09;Run5_1230..mat;V27HOJTEK_20141202_2200.blk;-1.323848906;0.003299061;-1.3085029;-1.339244005;14;14;28.39584832;28.45260164;28.42422498;17.92445606;109.0550963;268.8693597;2.824179877;83.37331;1.3448;0.005801928;1.0;-0.2085203;10.01382;T1
1230;undamaged;02/12/14 22:14;Run5_1231..mat;V27HOJTEK_20141202_2210.blk;-1.321727702;0.003223452;-1.30620417;-1.337520421;15;15;30.08362754;30.06865182;30.07613968;96.97444922;186.0551142;270.919335;2.735393767;96.91345;1.342678;0.005801928;1.0;-0.2139006;10.01598;T1
1240;undamaged;02/12/14 23:04;Run5_1241..mat;V27HOJTEK_20141202_2300.blk;-1.316308947;0.003459699;-1.300648717;-1.334073177;14;14;27.83547138;27.78580096;27.81063617;256.8283618;347.28857;269.5397918;2.284620351;71.45162;1.433436;0.005801928;1.0;-0.2179934;9.988287;T1
1241;undamaged;02/12/14 23:09;Run5_1242..mat;V27HOJTEK_20141202_2300.blk;-1.321635812;0.003382521;-1.306491514;-1.337807687;14;14;27.91974577;27.91855871;27.91915224;161.061133;250.5955322;270.4656009;2.60655699;81.99117;1.419672;0.005801928;1.0;-0.2078447;9.966373;T1
